Latitude,Longitude,NDVI
37.25,99.75,0.13601699471473694
37.25,100.25,0.0933689996600151
37.25,100.75,0.18737900257110596
37.25,101.25,0.20469199120998383
37.25,101.75,0.21219399571418762
37.25,102.25,0.25665900111198425
37.25,102.75,0.22446699440479279
37.25,103.25,0.18732298910617828
37.25,103.75,0.12426799535751343
37.25,104.25,0.11291100084781647
37.25,104.75,0.11043799668550491
37.25,105.25,0.10893699526786804
37.25,105.75,0.10695400089025497
37.25,106.25,0.11855999380350113
37.25,106.75,0.11683199554681778
37.25,107.25,0.13954000174999237
37.25,107.75,0.15842999517917633
37.25,108.25,0.17284099757671356
37.25,108.75,0.1754089891910553
37.25,109.25,0.179080992937088
37.25,109.75,0.19552499055862427
37.25,110.25,0.18730099499225616
37.25,110.75,0.18345700204372406
37.25,111.25,0.25492098927497864
37.25,111.75,0.20291998982429504
